id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,7321136000000.0,6715079000000.0,4746223000000.0,22888228000000.0,5623358000000.0,5649010000000.0,5842790000000.0,5773070000000.0,27538368000000.0,7801659000000.0,7826509000000.0,7214168000000.0,4696032000000.0,32538066000000.0,7236228000000.0,7898588000000.0,8250016000000.0,9153234000000.0,8869970000000.0,9670016000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,5882255000000.0,5367540000000.0,3572087000000.0,18190866000000.0,4537097000000.0,4503449000000.0,4668705000000.0,4481615000000.0,21760104000000.0,6277003000000.0,6269968000000.0,5793022000000.0,3420111000000.0,25954472000000.0,6013511000000.0,6347610000000.0,6613525000000.0,6979826000000.0,6950280000000.0,7726642000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,78730000000.0,69574000000.0,27815000000.0,187064000000.0,40202000000.0,48394000000.0,55762000000.0,42706000000.0,237176000000.0,56006000000.0,76607000000.0,55517000000.0,49046000000.0,664242000000.0,65551000000.0,100246000000.0,194181000000.0,304264000000.0,279199000000.0,376583000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,3204430000000.0,3025551000000.0,4215721000000.0,3620695000000.0,2852199000000.0,3112603000000.0,3505804000000.0,3620695000000.0,3384770000000.0,3665067000000.0,3638265000000.0,3608503000000.0,3384770000000.0,4360821000000.0,3789947000000.0,3666435000000.0,4045689000000.0,4360821000000.0,5467700000000.0,3909425000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,7220361000000.0,7281881000000.0,8411382000000.0,8892697000000.0,8274948000000.0,8742421000000.0,8572600000000.0,8892697000000.0,12466885000000.0,9258648000000.0,9626880000000.0,12752316000000.0,12466885000000.0,12122934000000.0,12119671000000.0,12192892000000.0,12043529000000.0,12122934000000.0,11585812000000.0,12324755000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,623738504000000.0,671353524000000.0,699032544000000.0,849482012000000.0,723517800000000.0,732470169000000.0,781278666000000.0,849482012000000.0,978798549000000.0,885653461000000.0,908306700000000.0,927053345000000.0,978798549000000.0,1192344137000000.0,989215993000000.0,1037645395000000.0,1129570458000000.0,1192344137000000.0,1190453754000000.0,1273076923000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,519263345000000.0,561454375000000.0,585607578000000.0,717865947000000.0,605552384000000.0,610005199000000.0,654148880000000.0,717853947000000.0,830858928000000.0,747780735000000.0,769755043000000.0,782685363000000.0,830858928000000.0,1012842695000000.0,835263328000000.0,875818166000000.0,950139865000000.0,1012842695000000.0,1003770981000000.0,1084079773000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,35109148000000.0,35172385000000.0,35172385000000.0,35225108000000.0,35172385000000.0,35172385000000.0,35172385000000.0,35225108000000.0,70648517000000.0,35225108000000.0,70450216000000.0,70450216000000.0,70648517000000.0,70862404000000.0,70648517000000.0,70648517000000.0,70648517000000.0,70862404000000.0,70862404000000.0,70862404000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,-4019664000000.0,15949913000000.0,19130477000000.0,12053287000000.0,-21874737000000.0,-2480003000000.0,22147334000000.0,14260693000000.0,42376555000000.0,13042575000000.0,5985634000000.0,-1685321000000.0,25033667000000.0,39923618000000.0,-11015276000000.0,-7771212000000.0,19633015000000.0,39077091000000.0,-12087775000000.0,-4359478000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-61994000000.0,-204923000000.0,-679274000000.0,-2912466000000.0,260141000000.0,-3042234000000.0,-111443000000.0,-18930000000.0,-382599000000.0,657185000000.0,-142741000000.0,-50233000000.0,-846810000000.0,-816440000000.0,-35158000000.0,-251094000000.0,-227849000000.0,-302339000000.0,-32965000000.0,90162000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,4.3885697734,4.6050342182,5.0385353485,4.8228641495,5.8110753933,6.4222572428,7.1247900953,9.2616863103,11.4750384201,8.1382371231,7.9891802171,7.3616543745,8.512548075,8.6860994305,11.6477870099,13.5226658764,11.7340730437,8.9041391191,8.7583677899,8.0952574354
RT_VALUE_PB,P/B Ratio,1,30,lần,0.8591419325,0.8981549631,0.9051804774,0.6663883577,0.9531244902,0.9427913607,0.9693953468,1.2814120995,1.6955353944,1.1767518385,1.2506132202,1.1648980259,1.2631495845,1.2918585854,1.6382492399,1.831859987,1.574749298,1.327280517,1.2898956006,1.2261144967
RT_PRT_ROE,ROE %,1,33,%,0.2105372576,0.2088422915,0.1951927606,0.1484720002,0.1717736593,0.1534793772,0.1422843547,0.1469452028,0.1556763471,0.1520175167,0.1604403781,0.1635766585,0.1539795402,0.1585291213,0.1453451278,0.1401370303,0.1367378018,0.1544719515,0.1470839992,0.147648269
RT_PRT_ROA,ROA %,1,34,%,0.0344555893,0.0342022573,0.0317889084,0.0234946012,0.0281753894,0.0251830618,0.0233071141,0.0232529968,0.0238039002,0.0242888353,0.0250720698,0.0253082766,0.0235444477,0.0239085825,0.0223484598,0.0216683928,0.0212667551,0.0232967001,0.0228688109,0.0226654319
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.055630912,0.0547316868,0.0531923979,0.0403256975,0.0473989189,0.043358568,0.0412021869,0.0403256975,0.0424193307,0.0409849949,0.0428759579,0.0427319024,0.0424193307,0.0375994307,0.0399735196,0.0378328289,0.036748286,0.0375994307,0.0366914486,0.0363342376
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0210151514,-0.0225773431,-0.0283342979,-0.0463332734,-0.034930042,-0.0422057851,-0.0466567778,-0.0463332734,-0.0328058961,-0.0421654339,-0.0371610789,-0.0341236033,-0.0328058961,-0.0333729647,-0.0322344188,-0.0327834183,-0.0328905904,-0.0333729647,-0.0357692194,-0.0390347106
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2980525662,-0.2915374071,-0.3275632437,-0.3307896849,-0.3378596542,-0.3076501224,-0.3484890761,-0.3307896849,-0.3270824675,-0.2649810586,-0.2942670236,-0.291883973,-0.3270824675,-0.3077746348,-0.2829092226,-0.3006108201,-0.3154621681,-0.3077746348,-0.2829409444,-0.3092085877
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.2182303193,1.2873052078,1.1733238392,1.1407220327,1.2017244499,1.2214961881,1.1627231396,1.1407220327,1.1843532514,1.221020091,1.2287448166,1.2653514377,1.1843532514,1.2402695468,1.2485214935,1.303138104,1.2883998558,1.2402695468,1.328531188,1.2790980022
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0060213953,0.0064921153,0.0072115197,0.0115670308,0.008478797,0.0107434501,0.0135983389,0.0115670308,0.0112403346,0.011294799,0.0123075019,0.0129075412,0.0112403346,0.0106802919,0.0117281839,0.0125722701,0.0116289807,0.0106802919,0.0109121852,0.0108228503
