id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,4176730000000.0,4514000000000.0,1382817000000.0,10803896000000.0,2549655000000.0,2612539000000.0,3117132000000.0,2707851000000.0,20012700000000.0,4181852000000.0,4492488000000.0,5186926000000.0,6151434000000.0,30624949000000.0,5014882000000.0,6214525000000.0,9166297000000.0,10229245000000.0,7920786000000.0,10959179000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,3324075000000.0,3542430000000.0,1140448000000.0,8494171000000.0,1649719000000.0,2452231000000.0,2427678000000.0,2111161000000.0,15986826000000.0,3141883000000.0,3641161000000.0,4164260000000.0,5039522000000.0,24354596000000.0,3934954000000.0,4937496000000.0,7363737000000.0,8118409000000.0,6329468000000.0,8775909000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,184131000000.0,187453000000.0,1125171000000.0,1479768000000.0,886235000000.0,609562000000.0,2932000000.0,81081000000.0,208031000000.0,424814000000.0,74315000000.0,136428000000.0,422102000000.0,364666000000.0,40045000000.0,75096000000.0,88258000000.0,161267000000.0,130807000000.0,391279000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,2307527000000.0,2270374000000.0,2658493000000.0,2284990000000.0,2610940000000.0,2104944000000.0,2815202000000.0,2284990000000.0,2148289000000.0,2432599000000.0,2597276000000.0,2681822000000.0,2148289000000.0,2774182000000.0,2671682000000.0,2403496000000.0,2943026000000.0,2774182000000.0,4065152000000.0,3246271000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,1784089000000.0,1843886000000.0,1858126000000.0,1923801000000.0,1782683000000.0,1759134000000.0,1898896000000.0,1923801000000.0,2023899000000.0,1916305000000.0,1926393000000.0,1906115000000.0,2023899000000.0,2028824000000.0,1941077000000.0,1873802000000.0,1849256000000.0,2028824000000.0,1970053000000.0,1921316000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,608275139000000.0,595901874000000.0,631073662000000.0,817566922000000.0,677623733000000.0,739761986000000.0,780212730000000.0,817699538000000.0,923847637000000.0,822366981000000.0,864392980000000.0,858884594000000.0,923847637000000.0,1260149596000000.0,994036651000000.0,1104718510000000.0,1178298568000000.0,1260149596000000.0,1372010032000000.0,1502526376000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,509751315000000.0,493535620000000.0,527556773000000.0,677771395000000.0,572526094000000.0,632198116000000.0,670221182000000.0,677752965000000.0,776572375000000.0,679429571000000.0,726317366000000.0,716644720000000.0,776572375000000.0,1079873967000000.0,842823289000000.0,952535825000000.0,1018753281000000.0,1079873967000000.0,1185405231000000.0,1311311032000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,45056930000000.0,45056930000000.0,67434236000000.0,79339236000000.0,67434236000000.0,67434236000000.0,67434236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0,79339236000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,5890665000000.0,-13669768000000.0,15701168000000.0,11459579000000.0,21134682000000.0,32753079000000.0,-11663640000000.0,-30763738000000.0,57316185000000.0,-5358644000000.0,21894246000000.0,16946320000000.0,23834263000000.0,44532621000000.0,8550806000000.0,14803070000000.0,4043752000000.0,17134993000000.0,12145698000000.0,3065000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-28107000000.0,-24238000000.0,-553216000000.0,-103098000000.0,-4388000000.0,-18471000000.0,-28449000000.0,-52595000000.0,-45039000000.0,-69000000.0,-496000000.0,2223000000.0,-46697000000.0,-88786000000.0,-55847000000.0,26194000000.0,-2135000000.0,-56998000000.0,-18002000000.0,-1215629000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,6.3796154645,7.074017277,7.5539391061,15.2729361108,10.9385688215,12.6473208815,13.3687793748,13.7446064836,14.4058472868,12.4583264742,13.499973671,10.852858117,8.4976900226,8.3041311025,10.3440940704,14.8169293588,11.3340624075,9.0451623018,7.9961785268,6.6258143517
RT_VALUE_PB,P/B Ratio,1,30,lần,1.1862208548,1.3770069471,1.4211483927,1.1314726607,1.3278204054,1.4386879169,1.1076927672,1.1609380947,1.6018248207,1.0907888894,1.2294070279,1.0488669373,0.9448809589,1.1765977622,1.1427259217,1.7577240312,1.5200947226,1.2923674217,1.2076215069,1.1078700096
RT_PRT_ROE,ROE %,1,33,%,0.1958476027,0.1917533708,0.1914633954,0.0698254018,0.1176022132,0.1107958154,0.0965634681,0.0819896725,0.1113789812,0.0885886761,0.0873027141,0.0936893991,0.1099296453,0.1487072493,0.1113123191,0.1174041678,0.1353631359,0.1464806273,0.1549858913,0.1661884394
RT_PRT_ROA,ROA %,1,34,%,0.0305001988,0.0316764582,0.0308343921,0.0117275844,0.0191647652,0.0175365586,0.0145483274,0.0137706448,0.0183607354,0.0140293309,0.0141120553,0.0156884989,0.0181218136,0.0223027718,0.0176943598,0.0179339096,0.0196626449,0.0219688282,0.0213979546,0.0224475803
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0717863354,0.0738530216,0.0760804642,0.0568629835,0.0705805279,0.0642041773,0.0575263569,0.0568629835,0.0592041823,0.0544459089,0.0568841059,0.0591069016,0.0592041823,0.055666197,0.0588647689,0.0559118881,0.0545193341,0.055666197,0.0526134435,0.0524073241
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0384889082,-0.0400593954,-0.0443433761,-0.0661964506,-0.0497308924,-0.0562851561,-0.0608508795,-0.0661964506,-0.0441714791,-0.059051502,-0.0530466065,-0.0476257411,-0.0441714791,-0.0477326439,-0.0428541812,-0.0432882724,-0.0439945047,-0.0477326439,-0.0476730576,-0.051731217
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2652345552,-0.2624646909,-0.2442290995,-0.2802847106,-0.276963137,-0.2878116241,-0.2836743213,-0.2802847106,-0.2303384323,-0.2584943178,-0.2064262499,-0.2490180082,-0.2303384323,-0.2495561479,-0.2488679879,-0.2663758871,-0.2198752421,-0.2495561479,-0.2169118997,-0.1964806639
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.3286332137,1.4513875689,1.4459376484,1.2800898851,1.3994289248,1.2606564661,1.2374881317,1.2800898851,1.4266490885,1.2783434952,1.324449545,1.3353682891,1.4266490885,1.5029212988,1.3215121188,1.3800971531,1.5301489759,1.5029212988,1.5246633641,1.584692925
RT_BANK_NPL,Non-Performing Loans Ratio (NPL),1,39,%,0.0525473286,0.0501502625,0.0573464571,0.0502018282,0.0624394291,0.0652095651,0.0573919362,0.0502018282,0.0419558132,0.0483505719,0.050797192,0.0480553777,0.0419558132,0.033334729,0.0474137947,0.0397349567,0.0351346486,0.033334729,0.0358182903,0.0327941385
RT_BANK_NPL_COVERAGE,NPL Coverage Ratio,1,40,%,-0.6199212608,-0.6202445527,-0.544042332,-0.5205888563,-0.4603995944,-0.4300760145,-0.4265270056,-0.5205888563,-0.5617491335,-0.5343638683,-0.4807898336,-0.5069725338,-0.5617491335,-0.5539213223,-0.4742495911,-0.5219494645,-0.5505499821,-0.5539213223,-0.5279791062,-0.5617347241
