time,open,high,low,close,volume
2021-01-04 07:00:00,17.05,17.7,16.9,17.55,46809600
2021-01-05 07:00:00,17.55,17.95,17.45,17.7,23399500
2021-01-06 07:00:00,17.9,18.35,17.7,18.0,31193600
2021-01-07 07:00:00,18.05,18.45,17.85,18.45,39683500
2021-01-08 07:00:00,18.8,19.5,18.65,19.4,34889200
2021-01-11 07:00:00,20.0,20.4,19.8,20.1,33493100
2021-01-12 07:00:00,19.9,20.05,19.5,19.8,27236800
2021-01-13 07:00:00,19.8,20.05,19.4,19.5,26650000
2021-01-14 07:00:00,19.65,20.25,19.0,20.1,27462300
2021-01-15 07:00:00,20.5,21.5,20.5,21.1,51692600
2021-01-18 07:00:00,21.7,21.7,20.25,20.6,59659200
2021-01-19 07:00:00,20.35,20.45,19.2,19.2,45045700
2021-01-20 07:00:00,19.4,19.6,17.95,19.0,34426700
2021-01-21 07:00:00,19.4,20.0,18.85,20.0,34477100
2021-01-22 07:00:00,20.0,20.2,19.7,19.95,29967400
2021-01-25 07:00:00,19.7,19.9,19.35,19.35,28071700
2021-01-26 07:00:00,19.3,19.3,18.05,18.1,32302200
2021-01-27 07:00:00,17.8,18.65,17.0,17.25,32158500
2021-01-28 07:00:00,16.15,16.95,16.05,16.05,45050900
2021-01-29 07:00:00,15.5,17.15,15.5,16.9,31230400
2021-02-01 07:00:00,17.0,17.45,16.1,16.1,23123900
2021-02-02 07:00:00,16.4,17.2,16.0,17.15,20756400
2021-02-03 07:00:00,17.35,18.2,17.15,18.0,27109800
2021-02-04 07:00:00,17.9,18.15,17.55,17.6,18651000
2021-02-05 07:00:00,17.65,18.3,17.6,18.3,18060300
2021-02-08 07:00:00,18.3,18.45,17.1,17.4,24037300
2021-02-09 07:00:00,17.5,18.2,17.1,18.15,18229600
2021-02-17 07:00:00,18.3,18.8,18.2,18.75,21031200
2021-02-18 07:00:00,18.7,18.8,18.45,18.6,22503900
2021-02-19 07:00:00,18.4,19.0,18.25,18.7,22590900
2021-02-22 07:00:00,18.8,19.2,18.55,18.6,25991000
2021-02-23 07:00:00,18.65,19.0,18.5,18.8,24897200
2021-02-24 07:00:00,18.95,19.15,18.3,18.35,24698800
2021-02-25 07:00:00,18.6,18.65,18.2,18.5,18339100
2021-02-26 07:00:00,18.25,18.55,18.2,18.35,17421100
2021-03-01 07:00:00,18.6,19.15,18.5,19.1,35781100
2021-03-02 07:00:00,19.6,19.6,19.05,19.15,21137900
2021-03-03 07:00:00,19.15,19.3,19.0,19.0,16624600
2021-03-04 07:00:00,19.05,19.15,18.3,18.35,23543500
2021-03-05 07:00:00,18.35,18.85,18.15,18.7,24861800
2021-03-08 07:00:00,19.0,19.15,18.5,18.6,13653100
2021-03-09 07:00:00,18.5,18.7,18.3,18.55,14770300
2021-03-10 07:00:00,18.65,18.9,18.4,18.7,18970000
2021-03-11 07:00:00,19.0,19.35,18.85,19.3,34594300
2021-03-12 07:00:00,19.4,19.5,19.0,19.2,19941500
2021-03-15 07:00:00,19.2,19.35,18.9,18.9,22954100
2021-03-16 07:00:00,18.95,19.15,18.75,18.9,23799400
2021-03-17 07:00:00,19.0,19.75,19.0,19.6,38324900
2021-03-18 07:00:00,19.85,19.95,19.6,19.7,19877400
2021-03-19 07:00:00,19.6,19.9,19.55,19.6,24328900
2021-03-22 07:00:00,19.7,19.7,19.15,19.2,32816300
2021-03-23 07:00:00,19.2,19.2,18.75,18.8,25297500
2021-03-24 07:00:00,18.55,18.85,18.3,18.4,22973200
2021-03-25 07:00:00,18.6,19.05,18.45,18.75,28724300
2021-03-26 07:00:00,18.75,19.1,18.3,18.95,23365100
2021-03-29 07:00:00,19.05,19.25,18.9,19.2,36995400
2021-03-30 07:00:00,19.25,20.5,19.0,20.5,99978500
2021-03-31 07:00:00,21.45,21.9,21.25,21.45,56674000
2021-04-01 07:00:00,21.4,21.65,21.1,21.6,33202800
2021-04-02 07:00:00,21.9,22.95,21.8,22.6,56039200
2021-04-05 07:00:00,23.0,23.3,22.6,23.15,46163800
2021-04-06 07:00:00,22.6,23.2,22.6,22.75,42374000
2021-04-07 07:00:00,22.3,22.6,22.1,22.3,51625800
2021-04-08 07:00:00,22.5,22.6,22.0,22.2,26665400
2021-04-09 07:00:00,22.2,22.9,22.2,22.7,25317200
2021-04-12 07:00:00,23.0,23.85,22.75,23.45,49313400
2021-04-13 07:00:00,23.45,23.55,22.6,22.7,46627800
2021-04-14 07:00:00,22.5,22.95,22.2,22.9,35105800
2021-04-15 07:00:00,23.0,23.0,22.2,22.35,36947400
2021-04-16 07:00:00,22.2,22.8,21.8,22.1,41485000
2021-04-19 07:00:00,22.3,22.9,22.0,22.9,29032100
2021-04-20 07:00:00,23.0,23.15,22.3,22.5,29744900
2021-04-22 07:00:00,22.5,22.6,21.0,21.0,35450900
2021-04-23 07:00:00,21.3,22.45,20.9,22.45,45227000
2021-04-26 07:00:00,22.9,23.2,22.45,22.55,41629500
2021-04-27 07:00:00,22.55,23.25,22.3,23.1,47546500
2021-04-28 07:00:00,23.1,24.35,22.9,24.2,71125700
2021-04-29 07:00:00,24.25,24.6,23.85,23.9,38893400
2021-05-04 07:00:00,23.3,24.2,23.15,24.1,54307900
2021-05-05 07:00:00,24.15,25.1,24.05,24.7,51677300
2021-05-06 07:00:00,24.55,24.9,24.3,24.4,34269000
2021-05-07 07:00:00,24.25,24.55,23.8,24.0,48458300
2021-05-10 07:00:00,23.8,24.5,23.7,24.3,41488900
2021-05-11 07:00:00,24.45,25.45,24.45,24.65,58012000
2021-05-12 07:00:00,24.85,26.35,24.8,26.35,59475300
2021-05-13 07:00:00,26.05,27.15,26.05,26.3,47105300
2021-05-14 07:00:00,26.6,26.85,26.15,26.4,32742600
2021-05-17 07:00:00,26.5,26.7,25.85,25.95,39752100
2021-05-18 07:00:00,25.9,27.4,25.65,27.3,44745200
2021-05-19 07:00:00,27.3,28.7,27.3,28.5,46484200
2021-05-20 07:00:00,28.45,29.55,28.1,29.4,57268100
2021-05-21 07:00:00,29.25,29.8,28.8,28.85,45792800
2021-05-24 07:00:00,28.85,29.25,28.8,28.9,31595200
2021-05-25 07:00:00,28.95,29.75,28.9,29.35,24123100
2021-05-26 07:00:00,29.6,29.8,29.35,29.5,31489600
2021-05-27 07:00:00,29.55,30.3,29.0,29.8,46751500
2021-05-28 07:00:00,30.4,31.85,30.0,31.85,73839900
2021-05-31 07:00:00,32.15,33.9,31.9,33.8,42128800
2021-06-01 07:00:00,33.5,33.55,32.35,32.4,47063500
2021-06-02 07:00:00,31.6,32.4,31.2,32.2,51657300
2021-06-03 07:00:00,33.2,33.2,32.2,32.75,30950700
2021-06-04 07:00:00,32.2,33.0,31.8,32.15,37481900
2021-06-07 07:00:00,31.8,32.0,30.0,30.7,38824700
2021-06-08 07:00:00,30.2,31.3,28.6,28.6,47297600
2021-06-09 07:00:00,28.5,30.35,28.0,29.6,37519500
2021-06-10 07:00:00,29.6,30.05,28.8,28.9,23976800
2021-06-11 07:00:00,29.1,30.8,28.8,30.5,36442200
2021-06-14 07:00:00,30.7,31.3,30.4,30.8,26889200
2021-06-15 07:00:00,30.8,30.8,29.8,30.1,29659500
2021-06-16 07:00:00,29.6,30.2,29.0,29.2,30686500
2021-06-17 07:00:00,28.55,29.65,28.55,29.4,19581100
2021-06-18 07:00:00,29.9,30.1,29.5,29.65,16991300
2021-06-21 07:00:00,29.5,30.3,29.35,29.85,24072800
2021-06-22 07:00:00,30.15,30.75,29.85,30.2,25185700
2021-06-23 07:00:00,30.2,30.35,29.75,29.75,24112800
2021-06-24 07:00:00,29.75,29.9,28.85,29.0,21749700
2021-06-25 07:00:00,29.0,29.5,28.9,29.5,15572700
2021-06-28 07:00:00,29.8,30.4,29.45,30.2,19303900
2021-06-29 07:00:00,30.5,31.5,30.4,31.0,36074600
2021-06-30 07:00:00,30.95,31.4,30.5,30.6,16495700
2021-07-01 07:00:00,30.6,31.25,30.45,31.0,29589500
2021-07-02 07:00:00,31.1,31.95,31.1,31.5,41478500
2021-07-05 07:00:00,31.6,32.6,30.9,32.6,53687900
2021-07-06 07:00:00,32.8,33.1,30.35,30.35,33661900
2021-07-07 07:00:00,30.65,31.15,30.0,31.05,41481100
2021-07-08 07:00:00,31.0,31.3,30.1,30.2,32240500
2021-07-09 07:00:00,30.0,30.5,29.0,29.1,38413800
2021-07-12 07:00:00,29.15,29.2,27.1,28.4,62616700
2021-07-13 07:00:00,28.8,29.0,28.05,28.7,18442600
2021-07-14 07:00:00,28.7,28.7,27.0,27.4,25268600
2021-07-15 07:00:00,27.1,28.8,27.1,28.8,25368800
2021-07-16 07:00:00,28.9,29.1,28.4,28.45,19474900
2021-07-19 07:00:00,27.5,27.95,26.7,27.5,38557500
2021-07-20 07:00:00,27.8,28.1,27.2,28.1,23884800
2021-07-21 07:00:00,28.3,28.4,27.8,27.85,14144600
2021-07-22 07:00:00,27.85,28.15,27.65,28.0,16617400
2021-07-23 07:00:00,28.3,29.95,27.9,28.7,63584600
2021-07-26 07:00:00,28.9,29.3,28.35,28.7,15097600
2021-07-27 07:00:00,29.0,29.75,28.7,29.1,29764400
2021-07-28 07:00:00,28.9,29.45,28.7,28.9,17532900
2021-07-29 07:00:00,29.1,29.4,29.0,29.3,16102300
2021-07-30 07:00:00,29.4,30.35,29.25,29.9,32248600
2021-08-02 07:00:00,29.8,30.4,29.3,29.3,26509200
2021-08-03 07:00:00,29.4,29.8,29.25,29.8,26539400
2021-08-04 07:00:00,29.8,30.8,29.65,30.65,48352900
2021-08-05 07:00:00,30.6,31.25,30.3,31.05,30721500
2021-08-06 07:00:00,31.0,31.15,30.3,30.3,30921200
2021-08-09 07:00:00,30.3,30.8,30.1,30.7,20906000
2021-08-10 07:00:00,30.85,31.0,30.3,30.6,24370800
2021-08-11 07:00:00,30.5,30.85,30.35,30.4,26155800
2021-08-12 07:00:00,30.3,30.5,29.6,29.6,27936600
2021-08-13 07:00:00,29.6,29.8,29.15,29.7,22964600
2021-08-16 07:00:00,29.85,30.4,29.4,30.3,24095900
2021-08-17 07:00:00,30.3,30.6,30.0,30.15,20325100
2021-08-18 07:00:00,30.0,30.15,29.55,29.95,22196200
2021-08-19 07:00:00,29.8,30.05,29.6,29.95,16698400
2021-08-20 07:00:00,29.8,29.9,28.0,28.3,42106300
2021-08-23 07:00:00,28.2,28.5,27.0,27.0,29889700
2021-08-24 07:00:00,26.9,27.85,26.65,27.25,25860800
2021-08-25 07:00:00,27.35,27.55,27.1,27.35,8164000
2021-08-26 07:00:00,27.5,27.55,26.85,27.1,13170400
2021-08-27 07:00:00,27.0,27.3,26.55,27.3,16479200
2021-08-30 07:00:00,27.35,27.95,27.2,27.9,11734700
2021-08-31 07:00:00,28.0,28.0,27.3,27.35,11977600
2021-09-01 07:00:00,27.2,27.5,27.2,27.2,10287300
2021-09-06 07:00:00,27.2,27.85,27.1,27.55,16262200
2021-09-07 07:00:00,27.75,28.35,27.55,27.9,13779100
2021-09-08 07:00:00,27.9,28.1,27.3,27.3,9670400
2021-09-09 07:00:00,27.15,27.5,27.1,27.35,9342700
2021-09-10 07:00:00,27.5,27.6,27.15,27.2,10699600
2021-09-13 07:00:00,27.25,27.3,26.8,26.9,10646300
2021-09-14 07:00:00,26.9,27.2,26.65,26.65,12638800
2021-09-15 07:00:00,26.65,26.9,26.55,26.6,10157900
2021-09-16 07:00:00,26.9,26.95,26.6,26.75,5187000
2021-09-17 07:00:00,26.9,27.1,26.7,26.8,16365100
2021-09-20 07:00:00,27.0,27.5,26.9,27.1,17459500
2021-09-21 07:00:00,26.85,27.05,26.5,26.8,14211800
2021-09-22 07:00:00,26.8,26.85,26.55,26.7,8394800
2021-09-23 07:00:00,26.75,27.0,26.6,26.6,12776800
2021-09-24 07:00:00,26.7,27.2,26.6,26.75,13849400
2021-09-27 07:00:00,27.0,27.1,26.5,26.5,10520000
2021-09-28 07:00:00,26.35,26.6,26.2,26.55,9950300
2021-09-29 07:00:00,26.5,26.55,25.7,25.8,19931200
2021-09-30 07:00:00,25.85,26.15,25.7,25.7,10103000
2021-10-01 07:00:00,25.65,25.65,24.5,24.7,24145000
2021-10-04 07:00:00,24.5,24.8,24.05,24.3,15741600
2021-10-05 07:00:00,24.4,25.75,24.4,25.75,13478800
2021-10-06 07:00:00,25.8,25.8,25.45,25.5,11698400
2021-10-07 07:00:00,25.5,25.75,24.9,25.5,10015400
2021-10-08 07:00:00,25.6,26.0,25.3,25.7,9327300
2021-10-11 07:00:00,25.9,26.6,25.9,26.5,16455900
2021-10-12 07:00:00,26.75,26.8,26.35,26.6,11680000
2021-10-13 07:00:00,26.7,26.75,26.2,26.25,9597600
2021-10-14 07:00:00,26.2,26.7,26.2,26.4,8760700
2021-10-15 07:00:00,26.5,27.2,26.4,26.85,18823000
2021-10-18 07:00:00,27.0,27.2,26.85,26.9,14767900
2021-10-19 07:00:00,26.9,26.95,26.2,26.2,8316500
2021-10-20 07:00:00,26.4,26.75,25.65,26.3,14904000
2021-10-21 07:00:00,26.5,26.6,26.0,26.1,8665200
2021-10-22 07:00:00,26.4,26.4,26.0,26.2,6241800
2021-10-25 07:00:00,26.0,26.25,25.6,25.6,15093200
2021-10-26 07:00:00,25.6,25.75,25.2,25.6,10164000
2021-10-27 07:00:00,25.75,26.65,25.65,26.5,18102100
2021-10-28 07:00:00,26.6,26.7,26.0,26.7,11057400
2021-10-29 07:00:00,26.6,26.7,26.2,26.6,10004300
2021-11-01 07:00:00,26.6,27.05,26.2,26.6,14694700
2021-11-02 07:00:00,26.7,26.8,26.5,26.65,9856900
