id,item,level,order,unit,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
IS_PROFIT_BEFORE_TAX,IS_PROFIT_BEFORE_TAX,1,8,VNĐ,5785062000000.0,4156564000000.0,5349296000000.0,24989525000000.0,5980335000000.0,6550196000000.0,4870950000000.0,7698581000000.0,31763925000000.0,6210282000000.0,6749946000000.0,6552679000000.0,12251018000000.0,43443809000000.0,6823198000000.0,12097152000000.0,10614390000000.0,13909069000000.0,11139360000000.0,14728745000000.0
IS_NET_PROFIT_AFTER_TAX,IS_NET_PROFIT_AFTER_TAX,1,9,VNĐ,4680851000000.0,3319664000000.0,4273632000000.0,20044622000000.0,4831201000000.0,5263655000000.0,3895322000000.0,6143224000000.0,25482567000000.0,5002524000000.0,5409359000000.0,5192512000000.0,9878172000000.0,34871266000000.0,5499387000000.0,9752005000000.0,8512463000000.0,11107411000000.0,8960041000000.0,11783490000000.0
IS_MINORITY_INTEREST,IS_MINORITY_INTEREST,1,10,VNĐ,35438000000.0,18664000000.0,13221000000.0,141072000000.0,24824000000.0,60349000000.0,32247000000.0,23749000000.0,134352000000.0,43714000000.0,44064000000.0,33347000000.0,79921000000.0,266785000000.0,80512000000.0,82120000000.0,63679000000.0,40474000000.0,43062000000.0,43430000000.0
BS_CASH_AND_PRECIOUS_METALS,BS_CASH_AND_PRECIOUS_METALS,1,11,VNĐ,9828518000000.0,10642176000000.0,11066956000000.0,9759580000000.0,10509894000000.0,10173535000000.0,9468579000000.0,9759580000000.0,11147549000000.0,9408384000000.0,9457900000000.0,10239086000000.0,11147549000000.0,12583484000000.0,11517746000000.0,11463197000000.0,11927654000000.0,12583484000000.0,12295797000000.0,12998380000000.0
BS_FIXED_ASSETS,BS_FIXED_ASSETS,1,18,VNĐ,10122739000000.0,10007629000000.0,10202191000000.0,10125534000000.0,10057208000000.0,9867790000000.0,9766512000000.0,10125534000000.0,10002157000000.0,9921221000000.0,9763538000000.0,9622806000000.0,10002157000000.0,10826743000000.0,9800697000000.0,9957216000000.0,9979231000000.0,10826743000000.0,10766129000000.0,10708883000000.0
BS_TOTAL_ASSETS,BS_TOTAL_ASSETS,1,19,VNĐ,1691061895000000.0,1750789603000000.0,1809188549000000.0,2032613606000000.0,1823962183000000.0,1860104522000000.0,1888338295000000.0,2032690017000000.0,2385387732000000.0,2077615056000000.0,2161436302000000.0,2229791111000000.0,2385387732000000.0,2767699300000000.0,2469863401000000.0,2609788006000000.0,2761550938000000.0,2767699300000000.0,2924176928000000.0,2962003670000000.0
BS_TOTAL_LIABILITIES,BS_TOTAL_LIABILITIES,1,23,VNĐ,1588279814000000.0,1644680947000000.0,1700883827000000.0,1906741786000000.0,1711017010000000.0,1742044149000000.0,1766333172000000.0,1905119435000000.0,2236883024000000.0,1947032568000000.0,2025463448000000.0,2088805155000000.0,2236883024000000.0,2588044295000000.0,2315881229000000.0,2445961810000000.0,2591669938000000.0,2588044295000000.0,2735484770000000.0,2761789368000000.0
BS_CHARTER_CAPITAL,BS_CHARTER_CAPITAL,1,24,VNĐ,48057506000000.0,48057506000000.0,48057506000000.0,53699917000000.0,48057506000000.0,48057506000000.0,48057506000000.0,53699917000000.0,53699917000000.0,53699917000000.0,53699917000000.0,53699917000000.0,53699917000000.0,77669446000000.0,53699917000000.0,53699917000000.0,53699917000000.0,77669446000000.0,77669446000000.0,77669446000000.0
CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_OPERATING_ACTIVITIES,1,26,VNĐ,9974925000000.0,20511712000000.0,38532149000000.0,28768348000000.0,-12354419000000.0,14831974000000.0,19183597000000.0,7141948000000.0,102188686000000.0,36369856000000.0,48014597000000.0,16134027000000.0,1670206000000.0,82644000000000.0,-8760941000000.0,27016581000000.0,66767196000000.0,-2378836000000.0,127479653000000.0,-38333006000000.0
CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,CF_NET_CASH_FLOWS_FROM_INVESTING_ACTIVITIES,1,27,VNĐ,-116868000000.0,-138696000000.0,-243427000000.0,-703882000000.0,-29524000000.0,-239563000000.0,-125315000000.0,-344232000000.0,-1329023000000.0,-201089000000.0,-226586000000.0,-178693000000.0,-722655000000.0,-1915192000000.0,-223497000000.0,-358420000000.0,-572769000000.0,-760506000000.0,-315503000000.0,-351908000000.0
RT_VALUE_PE,P/E Ratio,1,29,lần,7.328079565,8.9827321732,8.3366155321,11.7368940682,8.4556038115,8.0785329747,9.3284709241,9.6858451598,8.6381478222,8.5302846743,9.5332393341,9.1567296577,7.9972963254,7.7289974379,9.2176089344,9.7010862292,9.6574823913,7.8669409272,6.645281248,6.0708315808
RT_VALUE_PB,P/B Ratio,1,30,lần,1.055038073,1.3270975177,1.3017748571,1.6237477963,1.285115942,1.213171552,1.3960398892,1.5421308573,1.3012405995,1.3250765449,1.433469585,1.4163316712,1.3740372886,1.3666798098,1.5555429688,1.7952342733,1.908187043,1.5255454637,1.3508258532,1.225805661
RT_PRT_ROE,ROE %,1,33,%,0.1505372438,0.1553582796,0.1662403072,0.1711839295,0.1585577156,0.1581290875,0.1572301237,0.1699791545,0.1857488845,0.1617335633,0.1573759619,0.1619806236,0.1847695587,0.2125261854,0.1781584051,0.1983396542,0.2095951299,0.2109002393,0.217091936,0.2176080705
RT_PRT_ROA,ROA %,1,34,%,0.0092767585,0.0093827613,0.0100449029,0.010436036,0.009639872,0.0097229779,0.0098261541,0.0103625882,0.0115357896,0.0102533718,0.0099541455,0.0101955449,0.0114749694,0.0135341265,0.0111645876,0.0124243001,0.0130388701,0.0134305828,0.0137763153,0.0140766514
RT_BANK_NIM,Net Interest Margin (NIM),1,35,%,0.0277519471,0.0283991026,0.0297935698,0.0286078079,0.0296443873,0.0293209159,0.0287797954,0.0286078079,0.0288603186,0.0290670919,0.0292519604,0.0292118792,0.0288603186,0.0262384002,0.0275990772,0.026485883,0.0257229484,0.0262384002,0.0258964567,0.0268977165
RT_BANK_COF,Cost of Funds (COF),1,36,%,-0.0324368805,-0.0331515833,-0.0372541226,-0.0454579308,-0.0401013162,-0.0442554666,-0.0468753392,-0.0454579308,-0.0307154124,-0.0419090784,-0.0367795841,-0.0329309154,-0.0307154124,-0.0325057111,-0.0299484996,-0.0304483207,-0.0307483043,-0.0325057111,-0.0322510768,-0.034040968
RT_BANK_CIR,Cost to Income Ratio (CIR),1,37,%,-0.2680145861,-0.2797817432,-0.2964509553,-0.2897807335,-0.2534891052,-0.2669029756,-0.292176968,-0.2897807335,-0.2752568858,-0.252135941,-0.2583319302,-0.2781014841,-0.2752568858,-0.3041753615,-0.2698440155,-0.279539974,-0.2676450452,-0.3041753615,-0.2494372659,-0.2408816283
RT_BANK_LDR,Loan to Deposit Ratio (LDR),1,38,%,1.0273031738,1.0466626298,1.0205300729,1.0442593866,1.0477534167,1.0376384782,1.0579677244,1.0442593866,1.0719895585,1.0607514469,1.0713777425,1.0583371058,1.0719895585,1.1106858799,1.1105531414,1.1043012487,1.1211109406,1.1106858799,1.1120050646,1.10677871
