Ticker,Method,FairValuePerShare,MarketPrice,Upside,DataType
ACB,ResidualIncome,31.014752717796377,22.75,0.36328583374929124,CALCULATED
ACB,JustifiedPB,27.374745295217842,22.75,0.20328550748210295,CALCULATED
ACB,PeerPB,22.78981280330915,22.75,0.001750013332270317,CALCULATED
ACB,HistoricalPB,31.69798839367893,22.75,0.3933181711507221,CALCULATED
BAB,ResidualIncome,5.214026672447504,10.7,-0.5127077876217285,CALCULATED
BAB,JustifiedPB,6.602865396569331,10.7,-0.38290977602155785,CALCULATED
BAB,PeerPB,7.562224257768794,10.7,-0.2932500693674024,CALCULATED
BAB,HistoricalPB,19.06170809307102,10.7,0.7814680460814036,CALCULATED
BID,ResidualIncome,48.0818854536241,36.9,0.3030321261144744,CALCULATED
BID,JustifiedPB,40.835306921906025,36.9,0.10664788406249404,CALCULATED
BID,PeerPB,36.62699771275195,36.9,-0.007398435968781758,CALCULATED
BID,HistoricalPB,53.8768238862441,36.9,0.4600765280824959,CALCULATED
CTG,ResidualIncome,69.8262278317589,32.15,1.1718888905679283,CALCULATED
CTG,JustifiedPB,52.70220507850685,32.15,0.6392598780250964,CALCULATED
CTG,PeerPB,41.752419205653304,32.15,0.29867555849621485,CALCULATED
CTG,HistoricalPB,31.45373672803791,32.15,-0.02165671141406189,CALCULATED
EIB,ResidualIncome,0.5858191942898454,17.4,-0.9663322302132272,CALCULATED
EIB,JustifiedPB,5.856263455271717,17.4,-0.6634331347544989,CALCULATED
EIB,PeerPB,9.772147941560956,17.4,-0.43838230220914043,CALCULATED
EIB,HistoricalPB,19.214730684149117,17.4,0.1042948669051218,CALCULATED
HDB,ResidualIncome,47.080247171913584,27.3,0.7245511784583729,CALCULATED
HDB,JustifiedPB,34.139015765988,27.3,0.2505133980215384,CALCULATED
HDB,PeerPB,27.092530987426386,27.3,-0.007599597530169033,CALCULATED
HDB,HistoricalPB,28.083070273538688,27.3,0.02868389280361483,CALCULATED
KLB,ResidualIncome,26.52250207993457,12.55,1.1133467792776548,CALCULATED
KLB,JustifiedPB,19.970787002932475,12.55,0.5912977691579662,CALCULATED
KLB,PeerPB,12.931756622945143,12.55,0.030418854417939567,CALCULATED
KLB,HistoricalPB,11.328466324630632,12.55,-0.09733336058720066,CALCULATED
LPB,ResidualIncome,40.04482212082874,50.0,-0.19910355758342524,CALCULATED
LPB,JustifiedPB,28.391637064324108,50.0,-0.4321672587135178,CALCULATED
LPB,PeerPB,19.70045132542702,50.0,-0.6059909734914596,CALCULATED
LPB,HistoricalPB,10.771672229356183,50.0,-0.7845665554128763,CALCULATED
MBB,ResidualIncome,38.00652520801597,20.85,0.8228549260439315,CALCULATED
MBB,JustifiedPB,29.964664156061122,20.85,0.43715415616600106,CALCULATED
MBB,PeerPB,23.221033886243607,20.85,0.11371865161839834,CALCULATED
MBB,HistoricalPB,22.75386320304686,20.85,0.09131238383917784,CALCULATED
MSB,ResidualIncome,15.137540314117071,15.9,-0.04795343936370622,CALCULATED
MSB,JustifiedPB,15.075509281749135,15.9,-0.05185476215414253,CALCULATED
MSB,PeerPB,14.912721496481902,15.9,-0.0620929876426477,CALCULATED
MSB,HistoricalPB,14.46699577595396,15.9,-0.090126051826795,CALCULATED
NAB,ResidualIncome,19.479482870763444,11.6,0.6792657647209865,CALCULATED
NAB,JustifiedPB,16.729377169357118,11.6,0.4421876870135446,CALCULATED
NAB,PeerPB,11.6,11.6,0.0,CALCULATED
NAB,HistoricalPB,13.533217165021984,11.6,0.1666566521570676,CALCULATED
OCB,ResidualIncome,10.515858735582942,10.9,-0.035242317836427395,CALCULATED
OCB,JustifiedPB,10.869765498519344,10.9,-0.002773807475289547,CALCULATED
OCB,PeerPB,11.602563422930084,10.9,0.06445535990184248,CALCULATED
OCB,HistoricalPB,12.141381361024242,10.9,0.11388819825910468,CALCULATED
SHB,ResidualIncome,23.43426473824207,11.9,0.96926594439009,CALCULATED
SHB,JustifiedPB,20.93594444104601,11.9,0.759323062272774,CALCULATED
SHB,PeerPB,18.69990592733635,11.9,0.5714206661627184,CALCULATED
SHB,HistoricalPB,10.184629936223303,11.9,-0.1441487448551847,CALCULATED
SSB,ResidualIncome,4.811337373859771,15.3,-0.6855335049764856,CALCULATED
SSB,JustifiedPB,5.985778619535685,15.3,-0.6087726392460338,CALCULATED
SSB,PeerPB,9.257286897792634,15.3,-0.39494856877172335,CALCULATED
SSB,HistoricalPB,31.727319352662832,15.3,1.0736810034420152,CALCULATED
STB,ResidualIncome,6.929734651464997,74.7,-0.9072324678518742,CALCULATED
STB,JustifiedPB,13.362048391425361,74.7,-0.8211238501817221,CALCULATED
STB,PeerPB,27.270055847618007,74.7,-0.6349390114107363,CALCULATED
STB,HistoricalPB,28.758666278481456,74.7,-0.6150111609306365,CALCULATED
TCB,ResidualIncome,34.845510398610685,31.65,0.1009639936369886,CALCULATED
TCB,JustifiedPB,32.63361874432961,31.65,0.03107800140061956,CALCULATED
TCB,PeerPB,31.541749556674418,31.65,-0.003420235176163633,CALCULATED
TCB,HistoricalPB,40.411299698826895,31.65,0.2768183159187012,CALCULATED
TPB,ResidualIncome,22.28696586974935,14.8,0.5058760722803612,CALCULATED
TPB,JustifiedPB,20.56304355808008,14.8,0.3893948350054106,CALCULATED
TPB,PeerPB,18.862289562312046,14.8,0.2744790244805435,CALCULATED
TPB,HistoricalPB,28.314335319433912,14.8,0.9131307648266156,CALCULATED
VCB,ResidualIncome,68.02536032387647,59.1,0.15102132527709755,CALCULATED
VCB,JustifiedPB,56.84016968777019,59.1,-0.03823739953011518,CALCULATED
VCB,PeerPB,43.907791225842566,59.1,-0.25705937012110724,CALCULATED
VCB,HistoricalPB,115.05580946577541,59.1,0.9467988065275026,CALCULATED
VIB,ResidualIncome,17.522163420182086,14.75,0.18794328272420913,CALCULATED
VIB,JustifiedPB,16.591291480993764,14.75,0.12483332074534004,CALCULATED
VIB,PeerPB,15.70293639084766,14.75,0.06460585700662103,CALCULATED
VIB,HistoricalPB,20.05335327857023,14.75,0.3595493748183207,CALCULATED
VPB,ResidualIncome,29.62620451175082,25.7,0.15277060357007088,CALCULATED
VPB,JustifiedPB,27.615876968867,25.7,0.07454774197926062,CALCULATED
VPB,PeerPB,30.072783948320236,25.7,0.17014723534319987,CALCULATED
VPB,HistoricalPB,32.61388423134186,25.7,0.2690227327370376,CALCULATED
