PeerGroup,Banks,MedianPB,MedianPTBV,MedianPE,MedianROE,MedianROA,MedianNIM,MedianNPL,MedianCAR,MedianCIR,MedianLDR,MedianCASA,MeanPB,MeanPTBV,MeanPE,MeanROE,MeanROA,MeanNIM,MeanNPL,MeanCAR,MeanCIR,MeanLDR,MeanCASA,MedianUpside,MedianInvestmentScore
Private large,6,1.2907525234500001,1.29075252345,7.494128975600001,0.1647510311,0.0197726288,0.03764428475,0.02120360075,0.11560000000000001,0.2796596063,1.27636935685,0.1864953524,1.4528569071333333,1.4528569071333333,13.60122478255,0.16209795446666667,0.01725951238333333,0.0378219141,0.028615486883333333,0.12236666666666667,0.2671596914166667,1.1975799513666667,0.2178778958166667,0.204805736305672,61.666666666666664
Private mid,8,1.0553570673000001,1.0553570673000001,7.90710715555,0.1468494865,0.01333016155,0.02909223205,0.02387240265,0.12445,0.37123300155,1.1935144206500001,0.12576629085000002,1.31687003505,1.31687003505,15.8524872752125,0.1373629980125,0.012241671249999999,0.027538925075,0.0250644383875,0.12375,0.36083793933749997,1.1966114887625001,0.1370891451375,-0.021449324435363015,43.193749999999994
Private small,3,0.9271880207,0.9271880207,5.102112207,0.1949572196,0.0113326646,0.0232718555,0.0147263746,0.1096,0.4165973898,1.0934269314,0.0544295407,0.9387317191333334,0.9387317191333334,6.588154202166667,0.175071698,0.0122450028,0.028422092266666667,0.014766694966666665,0.10943333333333333,0.42525542399999994,1.0924017258666667,0.049313731,0.40725172546534094,49.575
State-owned large,3,1.4444492583,1.4444492583,8.4356731507,0.1791575023,0.0140766514,0.0268977165,0.0119840842,0.1029,0.3166168116,1.1062653407,0.2349830174,1.5381624462333334,1.5381624462333334,8.700861151966667,0.19109397033333334,0.013479686033333334,0.0251438797,0.012121677033333333,0.10593333333333332,0.2926301594333333,1.0766731651333332,0.26083447023333334,0.2154066134800312,58.95833333333333
